coffee_volume,milk,gpa,study_hour,sleep_hour,mood
0,I don't drink coffee.,3.96,6.5,10,7
500,No,3.9,8,10,8
0,I don't drink coffee.,3.9,7,6,7
0,I don't drink coffee.,3.6,7,5,8
0,No,3.8,6,5,6
300,No,3.6,7,7,2
200,Yes,3.9,7,8,7
354.882,Yes,3.85,6,9,6
400,No,4,7,3,5
50,No,3.9,9,6,7
470,No,3.9,7,7,5
0,Yes,3.94,7.5,8,6
0,Yes,3.977,7,8,9
1000,Yes,3.95,6.5,8,2
500,Yes,3.67,9,4,3
100,Yes,3.9,9,7,3
0,Yes,4,8.5,5,7
0,I don't drink coffee.,3.6,7,5,9
0,No,3.8,6,5,6
300,No,3.85,7,7,2
200,Yes,3.9,7,8,7
360,Yes,3.85,6,9,6
400,No,4,7,3,5
500,Yes,3.67,9,4,3
100,Yes,3.9,9,7,3
0,Yes,4,8.5,5,7
50,No,3.9,9,6,7
470,No,3.9,7,7,5
0,Yes,3.95,7.5,8,6
0,Yes,3.98,7,6,9
1000,Yes,3.95,6.5,5,2
0,I don't drink coffee.,3.98,6.5,10,7
500,No,3.9,8,9,8
0,I don't drink coffee.,3.9,7,6,7
250,No,4,10,6,5
500,No,3.847,7,8,6
200,Yes,3.85,7,7,6
50,Yes,3.4,5,10,9
0,I don't drink coffee.,3.9,8,8,8
150,No,3.98,7,8,9
1000,Yes,3.95,8.5,8,3
500,No,3.9,8,8,8
0,I don't drink coffee.,3.2,7,6,5
200,Yes,3.7,7,8,7
300,No,3.856,9,9,6
500,No,3.95,8,5,4
0,I don't drink coffee.,3.95,8.5,8,6
200,No,3.84,7.5,6,8
560,No,3.95,8,6.5,4
0,I don't drink coffee.,4,9,10,9
430,Yes,3.6,8,9,8
330,No,3.2,5,6.5,4
200,Yes,3.9,8,6,7
300,Yes,3.85,8,8,3
